date,description,type,amount,debit,credit,check_no,counterparty,category,account_last4,source,source_pdf,source_row
08/01/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,August.pdf,0
08/01/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,August.pdf,1
08/01/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,August.pdf,2
08/01/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,August.pdf,3
08/01/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,August.pdf,4
07/09/2025,For the Period  to //,deposit,7.0,0,7.0,,,,,pdf,July.pdf,0
07/09/2025,For the Period  to //,deposit,7.0,0,7.0,,,,,pdf,July.pdf,1
10/01/2025,For the Period  to //,deposit,10.0,0,10.0,,,,,pdf,November.pdf,0
10/01/2025,For the Period  to //,deposit,10.0,0,10.0,,,,,pdf,November.pdf,1
10/01/2025,For the Period  to //,deposit,10.0,0,10.0,,,,,pdf,November.pdf,2
10/01/2025,For the Period  to //,deposit,10.0,0,10.0,,,,,pdf,November.pdf,3
10/01/2025,For the Period  to //,deposit,10.0,0,10.0,,,,,pdf,November.pdf,4
08/30/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,September.pdf,0
08/30/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,September.pdf,1
08/30/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,September.pdf,2
08/30/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,September.pdf,3
08/30/2025,For the Period  to //,deposit,8.0,0,8.0,,,,,pdf,September.pdf,4
