vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Abbate Tile 10.31.25 - Copy,,1136_old_dixie_highway_vero_beach_fl,1136 OLD DIXIE HIGHWAY VERO BEACH FL,EA,1136.0,,32960.0,32960.0,
Lynn-Abbate Tile 10.31.25 - Copy,,phone_7725699113_fax,PHONE 7725699113 FAX,EA,7725699113.0,,7725693849.0,7725693849.0,
Lynn-Abbate Tile 10.31.25 - Copy,,date,DATE,EA,1.0,,103125.0,103125.0,
Lynn-Abbate Tile 10.31.25 - Copy,,job_lynn_residence_job_address_291_sea_o,JOB LYNN RESIDENCE JOB ADDRESS 291 SEA OAK DRIVE,EA,291.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,phone,PHONE,EA,1.0,,7723888882.0,7723888882.0,
Lynn-Abbate Tile 10.31.25 - Copy,,rm_4_baths_powder_rm_and_fplace_surround,RM 4 BATHS POWDER RM AND FPLACE SURROUND HEARTH,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_48_slide_in_range_and_4_splashes,CUTOUT 48 SLIDE IN RANGE AND 4 SPLASHES,EA,48.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,farm_sink_cutout_and_4_splashes,FARM SINK CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,sink_cutout_and_4_splashes,SINK CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_1_price_for_3cm_stonequartz_with_a,BATH 1 PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE UMOUNT SINK,EA,1.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes_price_also_include,CUTOUT AND 4 SPLASHES PRICE ALSO INCLUDES A SHOWER SEAT TOP,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_2_tub_bath_price_for_3cm_stonequart,BATH 2 TUB BATH PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE,EA,2.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,umount_sink_cutout_and_4_splashes_price,UMOUNT SINK CUTOUT AND 4 SPLASHES PRICE ALSO INCLUDES THE TUB DECK WITH,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_3_price_for_3cm_stonequartz_with_a,BATH 3 PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE UMOUNT SINK,EA,3.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_4_price_for_3cm_stonequartz_with_a,BATH 4 PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE UMOUNT SINK,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,concrete,foundation,4 SLABS OF 3CM TAJ MAHAL QUARTZITE FOR KITCHEN WET BAR AND ALL BATH VANITY TOPS,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,concrete,foundation,2 SLABS OF 2CM POLISHED WHITE QUARTZ FOR ALL SHOWER COMPONENTS,EA,2.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,hvac,system_install,DAMAGES CAUSED BY OTHER PARTIES CUSTOMER HAS 24 HOURS TO REPORT ANY CONCERNS WITH THEIR PRODUCT OR,EA,24.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,50_deposit_is_due_upon_acceptance_of_pro,50 DEPOSIT IS DUE UPON ACCEPTANCE OF PROPOSAL AND BALANCE DUE AT INSTALLATION DEPOSIT PAYMENTS,EA,50.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,and_marble_may_withdraw_this_proposal_at,AND MARBLE MAY WITHDRAW THIS PROPOSAL AT ANY TIME IF NOT ACCEPTED WITHIN 30 DAYS FROM DATE ABOVE,EA,30.0,,,,
