vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Cirtus Roofing 10.24.25,,3900_pinecone_ln_vero_beach_fl,3900 Pinecone Ln Vero Beach Fl,EA,3900.0,,32968.0,32968.0,
Lynn-Cirtus Roofing 10.24.25,,office,Office,EA,1.0,,7725881194.0,7725881194.0,
Lynn-Cirtus Roofing 10.24.25,,emergency,Emergency,EA,1.0,,7722845613.0,7722845613.0,
Lynn-Cirtus Roofing 10.24.25,,date,Date,EA,1.0,,102425.0,102425.0,
Lynn-Cirtus Roofing 10.24.25,,1_new_construction_home_assumes_all_plyw,1 New Construction Home assumes all Plywood to be installed by Contractor and Nailed per FBC,EA,1.0,,,,
Lynn-Cirtus Roofing 10.24.25,,2_home_assumes_permit_expenses_to_be_by,2 Home assumes Permit Expenses to be by Contractor,EA,2.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,3 Dry in all areas using Sharkskin Ultra SA Peel and Stick Underlayment,EA,3.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,roof an additional layer of peel and stick will be added from 2 below the new penetration all the way to the first Hip or Ridge to,EA,2.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,In all areas a wall adjoins the roof the underlayment will run 4 up the side or head wall junction,EA,4.0,,,,
Lynn-Cirtus Roofing 10.24.25,insulation,thermal_insulation,Flat Roof section to receive tapered Rigid Insulation board properly secured onto deck to create a 1812 pitch away from,EA,1812.0,,,,
Lynn-Cirtus Roofing 10.24.25,insulation,thermal_insulation,1 Layer of Sharskin Ultra SA Peel and Stick to be applied over Insulation Board up the walls 4 inches and behind drip edge,EA,1.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,Capped with GAF EverGuard TPO Roofing to be rolled behind drip and 4 up walls and under reglet at walls,EA,4.0,,,,
Lynn-Cirtus Roofing 10.24.25,plumbing,rough-in,1 Furnish and install all related Flashings to be made from 16 oz Copper and installed using Copper Nails,EA,1.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,Birdstop or Eave Closure is to be installed above the drip edge this trim has weep holes every 12 to allow any water,EA,12.0,,,,
Lynn-Cirtus Roofing 10.24.25,,page_1_estimate,Page 1 Estimate,EA,1.0,,1317.0,1317.0,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,2 Tile is to be roof loaded onto the roof of the home by SCGs Supplier of Choice Driveway must be clear on day of roof load,EA,2.0,,,,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,3 Furnish and install a Concrete Plantation Roof Tile White Slurry Coated,EA,3.0,,,,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,4 Tile to be installed using 212 Long 304 grade stainless steel screws,EA,4.0,,,,
Lynn-Cirtus Roofing 10.24.25,tile,floor_tile,5 Hip and Ridge Trim Tile to be installed using ICP APOC Foam Tile Adhesive in any areas where it is impossible to use a screw,EA,5.0,,,,
Lynn-Cirtus Roofing 10.24.25,,6_color_matched_mortar_to_be_used_cosmet,6 Color Matched Mortar to be used cosmetically on Hip and Ridge and other areas requiring extra closure,EA,6.0,,,,
Lynn-Cirtus Roofing 10.24.25,,7_all_valleys_and_associated_trim_inters,7 All Valleys and Associated Trim Intersections to be sealed using Mastic Brand Butyl sealant to assure water tightness,EA,7.0,,,,
Lynn-Cirtus Roofing 10.24.25,plumbing,rough-in,8 All Cosmetic Caulking to use Titebond Sealant Bronze color to match the copper after patina has taken place,EA,8.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,9 Furnish and install Lead Pipe Flashing Boots on all plumbing pipes Flange of Lead Boot to be Peel and Sticked to ensure seal to,EA,9.0,,,,
Lynn-Cirtus Roofing 10.24.25,plumbing,rough-in,10 Furnish and install Custom 16 oz Copper Gooseneck Vents and 4 Off Ridge Vents on all existing locations,EA,10.0,,,,
Lynn-Cirtus Roofing 10.24.25,roofing,roof_assembly,Upon completion of the job you will receive a 7 yr Citrus Roofing and Construction LLC Guarantee that the roof will not leak,EA,7.0,,,,
Lynn-Cirtus Roofing 10.24.25,,payments_to_be_made_in_3_increments,Payments to be made in 3 increments,EA,3.0,,,,
Lynn-Cirtus Roofing 10.24.25,,1_15_non_refundable_deposit,1 15 NON REFUNDABLE DEPOSIT,EA,1.0,,17664.0,17664.0,
Lynn-Cirtus Roofing 10.24.25,,2_50_at_completion_of_dry_in,2 50 AT COMPLETION OF DRY IN,EA,2.0,,5888000.0,5888000.0,
Lynn-Cirtus Roofing 10.24.25,,3_35_balance_upon_completion_of_job,3 35 BALANCE UPON COMPLETION OF JOB,EA,3.0,,41216000.0,41216000.0,
Lynn-Cirtus Roofing 10.24.25,,of,OF,EA,1.0,,375.0,375.0,
Lynn-Cirtus Roofing 10.24.25,,contingent_upon_strikes_accidents_or_del,contingent upon strikes accidents or delays beyond our control This proposal is subject to acceptance within 14 days of above mentioned date and is,EA,14.0,,,,
Lynn-Cirtus Roofing 10.24.25,,page_2_estimate,Page 2 Estimate,EA,2.0,,1317.0,1317.0,
Lynn-Cirtus Roofing 10.24.25,,page_3_estimate,Page 3 Estimate,EA,3.0,,1317.0,1317.0,
