vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Final Touch Cabinets 10.8.25,,494_4th_pl_sw,494 4th Pl SW,EA,494.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,vero_beach_fl_32962_us,Vero Beach FL 32962 US,EA,32962.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,291_sea_oak_drive,291 SEA OAK DRIVE,EA,291.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Final Touch Cabinets 10.8.25,,291_sea_oak_drive,291 SEA OAK DRIVE,EA,291.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Final Touch Cabinets 10.8.25,,est,Est,EA,1.0,,11113202.0,11113202.0,
Lynn-Final Touch Cabinets 10.8.25,,page_1_of,Page 1 of,EA,1.0,,3.0,3.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,1.0,1.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,2.0,2.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,3.0,3.0,
Lynn-Final Touch Cabinets 10.8.25,,bath,BATH,EA,1.0,,4.0,4.0,
Lynn-Final Touch Cabinets 10.8.25,,page_2_of,Page 2 of,EA,2.0,,3.0,3.0,
Lynn-Final Touch Cabinets 10.8.25,,note_lead_time_is_1012_weeks_and_subject,NOTE LEAD TIME IS 1012 WEEKS AND SUBJECT TO CHANGE,EA,1012.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,50_deposit_due_to_order_50_upon_delivery,50 DEPOSIT DUE TO ORDER 50 UPON DELIVERY,EA,50.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,3_administration_fee_for_all_non_achchec,3 Administration Fee for all non ACHCheck payments,EA,3.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,quoted_price_is_only_valid_for_5_busines,quoted price is only valid for 5 business days from quote,EA,5.0,,,,
Lynn-Final Touch Cabinets 10.8.25,,page_3_of,Page 3 of,EA,3.0,,3.0,3.0,
