vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Gale Insulation 10.24.25,,branch_037_3601a_crossroads_parkway_ft_p,Branch 037 3601A Crossroads Parkway Ft Pierce FL 349452700 772,EA,37.0,,4659191.0,4659191.0,
Lynn-Gale Insulation 10.24.25,,7707_us_highway_1_ste,7707 US HIGHWAY 1 STE,EA,7707.0,,10.0,10.0,
Lynn-Gale Insulation 10.24.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32967.0,32967.0,
Lynn-Gale Insulation 10.24.25,,772,772,EA,772.0,,3888882.0,3888882.0,
Lynn-Gale Insulation 10.24.25,,291_sea_oak_dr,291 Sea Oak Dr,EA,291.0,,,,
Lynn-Gale Insulation 10.24.25,,vero_beach_fl,VERO BEACH FL,EA,1.0,,32963.0,32963.0,
Lynn-Gale Insulation 10.24.25,,quote_83659097,QUOTE 83659097,EA,83659097.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,issue_date,ISSUE DATE,EA,1.0,,10242025.0,10242025.0,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,open_cell_foam_r20_enertite_g_55_nominal,OPEN CELL FOAM R20 ENERTITE G 55 Nominal Inches,EA,55.0,,,,
Lynn-Gale Insulation 10.24.25,,3_mineral_wool,3 MINERAL WOOL,EA,3.0,,,,
Lynn-Gale Insulation 10.24.25,,draft_stop_fire_block_fire_stop_ibc_7184,Draft stop fire block fire stop IBC 71841 71842 and 71843 or locally adopted equivalent and fire rated caulking are,EA,71841.0,,,,
Lynn-Gale Insulation 10.24.25,,acceptance_contractor_may_change_andor_w,ACCEPTANCE Contractor may change andor withdraw this agreement if Contractor does not receive your signed acceptance within 10 business days after the,EA,10.0,,,,
Lynn-Gale Insulation 10.24.25,,pricing_the_prices_stated_in_the_scope_o,PRICING The prices stated in the Scope of Work above will remain firm for 60 days after the Date stated above If performance of this agreement extends,EA,60.0,,,,
Lynn-Gale Insulation 10.24.25,,beyond_this_60_day_period_you_agree_to_p,beyond this 60 day period you agree to pay Contractors then current pricing Price for any Work performed after that 60 day period The Prices are based only on,EA,60.0,,,,
Lynn-Gale Insulation 10.24.25,,page_1_of,Page 1 of,EA,1.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,actions_andor_lawsuits_of_any_kind_or_na,actions andor lawsuits of any kind or nature whatsoever except to the limited extent state in Section 18 of this agreement Any terms or conditions required by you by,EA,18.0,,,,
Lynn-Gale Insulation 10.24.25,,page_2_of,Page 2 of,EA,2.0,,4.0,4.0,
Lynn-Gale Insulation 10.24.25,,1_acceptance_this_agreement_is_expressly,1 ACCEPTANCE This agreement is expressly limited to and made conditional upon your acceptance of its terms and conditions Any of your terms and conditions which are,EA,1.0,,,,
Lynn-Gale Insulation 10.24.25,,2_limited_warranty_all_work_performed_by,2 LIMITED WARRANTY All work performed by Contractor is warranted to be free from defects in material and workmanship for one year from the date of completion of,EA,2.0,,,,
Lynn-Gale Insulation 10.24.25,,3_insurance_contractor_shall_maintain_wo,3 INSURANCE Contractor shall maintain workers compensation employer liability as required by law and 1000000 in general liability insurance while performing the,EA,3.0,,,,
Lynn-Gale Insulation 10.24.25,,4_limitation_of_remedies_your_sole_and_e,4 LIMITATION OF REMEDIES Your sole and exclusive remedy against Contractor for any and all claims for damages arising out of or alleged to have arisen out the,EA,4.0,,,,
Lynn-Gale Insulation 10.24.25,,the_alleged_damages_within_30_days_after,the alleged damages within 30 days after Contractors receipt of the notice If you fail to give the required notice andor fail to allow Contractor an opportunity to inspect the,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,,allege_damages_within_30_days_you_hereby,allege damages within 30 days you hereby waive any and all rights for damages andor correction of work against Contractor This Limitations of Remedies may be plead as a,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,,5_limitations_on_actions_and_liability_a,5 LIMITATIONS ON ACTIONS AND LIABILITY All claims andor lawsuits including but not limited to claims or lawsuits for indemnity andor contribution against,EA,5.0,,,,
Lynn-Gale Insulation 10.24.25,,contractor_arising_under_this_agreement,Contractor arising under this agreement must be made within 13 months from the date of completion of the installation CONTRACTOR WILL NOT BE LIABLE FOR ANY,EA,13.0,,,,
Lynn-Gale Insulation 10.24.25,,6_prices_terms_and_shipment_no_cash_disc,6 PRICES TERMS AND SHIPMENT No cash discounts back charges set offs or counterclaims are allowed unless specified by Contractor In addition to the prices,EA,6.0,,,,
Lynn-Gale Insulation 10.24.25,,15_per_month_18_per_annum_to_the_extent,15 per month 18 per annum to the extent permitted by law You agree to receive or permit Contractor to receive near the work site any materials needed to complete the,EA,15.0,,,,
Lynn-Gale Insulation 10.24.25,,7_force_majeure_contractor_shall_not_be,7 FORCE MAJEURE Contractor shall not be liable for any delay failures or default in performance of this agreement or otherwise in whole or in part caused by the,EA,7.0,,,,
Lynn-Gale Insulation 10.24.25,,8_confidentiality_if_you_visit_contracto,8 CONFIDENTIALITY If you visit Contractors premises or you otherwise receive any proprietary or confidential information from Contractor you shall retain such,EA,8.0,,,,
Lynn-Gale Insulation 10.24.25,,9_credit_approval_shipment_and_delivery,9 CREDIT APPROVAL Shipment and delivery of goods and performance of work shall at all times be subject to the approval of Contractors credit department and,EA,9.0,,,,
Lynn-Gale Insulation 10.24.25,,10_cancellation_this_agreement_or_any_pa,10 CANCELLATION This agreement or any part of it may only be cancelled with Contractors written approval In the event of cancellation of this agreement or any part,EA,10.0,,,,
Lynn-Gale Insulation 10.24.25,,11_default_you_may_terminate_this_agreem,11 DEFAULT You may terminate this agreement for Contractors default wholly or in part by giving Contractor written notice of termination as follows You may give a,EA,11.0,,,,
Lynn-Gale Insulation 10.24.25,,default_has_not_been_remedied_within_thi,default has not been remedied within thirty 30 days or such longer period as may be reasonable under the circumstances after Contractors receipt of the notice of default,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,hvac,system_install,Delivery of nonconforming products or work by Contractor shall give you the rights set forth in paragraph 4 hereof but shall not be deemed a default for purposes of,EA,4.0,,,,
Lynn-Gale Insulation 10.24.25,,12_assignment_you_may_not_assign_this_ag,12 ASSIGNMENT You may not assign this agreement or any claim against Contractor relating to this agreement,EA,12.0,,,,
Lynn-Gale Insulation 10.24.25,,13_governing_law_this_agreement_shall_be,13 GOVERNING LAW This agreement shall be construed interpreted and the rights of the parties determined in accordance with the laws of the State of Contractors,EA,13.0,,,,
Lynn-Gale Insulation 10.24.25,,14_disputes_and_mandatory_mediation_in_t,14 DISPUTES AND MANDATORY MEDIATION In the event that a dispute arises over the reasonableness of or entitlement to fees charged by Contractor the,EA,14.0,,,,
Lynn-Gale Insulation 10.24.25,,30_days_of_when_the_dispute_arose_one_wi,30 days of when the dispute arose one will be selected pursuant to the Commercial Mediation Rules of the American Arbitration Association Each party will share equally the,EA,30.0,,,,
Lynn-Gale Insulation 10.24.25,insulation,thermal_insulation,15 INSULATION DOES NOT PREVENT FROZEN PIPES Insulating around water lines in an unconditioned or semiconditioned area will not prevent pipes from,EA,15.0,,,,
Lynn-Gale Insulation 10.24.25,,16_severability_if_any_provision_on_this,16 SEVERABILITY If any provision on this agreement is not enforceable that provision shall be effective only to the extent permitted by law and all other provisions of this,EA,16.0,,,,
