vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Gator 11.6.25,,gator_building_supply_9555_n_us_highway,Gator Building Supply 9555 N US Highway 1 Sebastian FL,EA,9555.0,,32958.0,32958.0,
Lynn-Gator 11.6.25,,p_772,P 772,EA,772.0,,5898976.0,5898976.0,
Lynn-Gator 11.6.25,,f_772,F 772,EA,772.0,,5899642.0,5899642.0,
Lynn-Gator 11.6.25,,2x4_cypress_2_facia,2x4 Cypress 2 Facia,EA,2.0,,,,
Lynn-Gator 11.6.25,,1x4_cypress_select_tg_soffit_1_oc,1x4 Cypress Select TG Soffit 1 oc,EA,1.0,,,,
Lynn-Gator 11.6.25,,2x12_cypress_2_bird_blocking,2x12 Cypress 2 Bird Blocking,EA,2.0,,,,
Lynn-Gator 11.6.25,roofing,roof_assembly,58 4x8 CDX Roof Sheathing 812 slope,EA,58.0,,,,
Lynn-Gator 11.6.25,,pscl_ply_clips_250_pieces,PSCL Ply Clips 250 pieces,EA,250.0,,,,
Lynn-Gator 11.6.25,framing,framing_lumber,3x8x2 Cypress 2 Rafter Tail 2 oc,EA,2.0,,,,
Lynn-Gator 11.6.25,framing,framing_lumber,3x8x3 Cypress 2 Rafter Tail 2 oc,EA,2.0,,,,
Lynn-Gator 11.6.25,,2_weeks_lead_time_lumber,2 weeks lead time lumber,EA,2.0,,,,
Lynn-Gator 11.6.25,framing,framing_lumber,2x8x12 SYP 16 oc Joists S6,EA,16.0,,,,
Lynn-Gator 11.6.25,,58_4x8_sheathing_backer,58 4x8 Sheathing Backer,EA,58.0,,,,
Lynn-Gator 11.6.25,,58_4x8_sheathing_backer,58 4x8 Sheathing Backer,EA,58.0,,,,
Lynn-Gator 11.6.25,,2_2x6x16_pt_prime_ledger_1s8,2 2x6x16 PT Prime Ledger 1S8,EA,2.0,,,,
Lynn-Gator 11.6.25,,2_2x8x16_pt_ledger_2s7_1s7,2 2x8x16 PT Ledger 2S7 1S7,EA,2.0,,,,
Lynn-Gator 11.6.25,,lmw200_5_gal,LMW200 5 Gal,EA,5.0,,,,
Lynn-Gator 11.6.25,,pocket_door_frames,Pocket Door Frames,EA,1.0,,8.0,8.0,
Lynn-Gator 11.6.25,,30x70x_134_all_poplar_frame_with_54_jamb,30x70x 134 All Poplar Frame with 54 Jamb Leg and,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,28x70x_134_all_poplar_frame_with_54_jamb,28x70x 134 All Poplar Frame with 54 Jamb Leg and,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,26x70x_134_all_poplar_frame_with_54_jamb,26x70x 134 All Poplar Frame with 54 Jamb Leg,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,and dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,24x70x_134_all_poplar_frame_with_54_jamb,24x70x 134 All Poplar Frame with 54 Jamb Leg and,EA,134.0,,,,
Lynn-Gator 11.6.25,drywall,gypsum_board,dado 2x6 wall 12 Drywall,EA,12.0,,,,
Lynn-Gator 11.6.25,,ridge,Ridge,EA,1.0,,1.0,1.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_1_bottom_dbl_lock_mi,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,EA,1.0,,,,
Lynn-Gator 11.6.25,,34x634_net_s4s_poplar_2_sides_single_loc,34x634 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,hip_beams,Hip Beams,EA,1.0,,4.0,4.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_2_sides_single_lock,34x6 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,intermediate_beams,Intermediate Beams,EA,1.0,,18.0,18.0,
Lynn-Gator 11.6.25,,34x4_net_s4s_poplar_2_sides_single_lock,34x4 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,ridge,Ridge,EA,1.0,,2.0,2.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_1_bottom_dbl_lock_mi,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,EA,1.0,,,,
Lynn-Gator 11.6.25,,34x634_net_s4s_poplar_2_sides_single_loc,34x634 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,hip_beams,Hip Beams,EA,1.0,,4.0,4.0,
Lynn-Gator 11.6.25,,34x6_net_s4s_poplar_2_sides_single_lock,34x6 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,intermediate_beams,Intermediate Beams,EA,1.0,,11.0,11.0,
Lynn-Gator 11.6.25,,34x4_net_s4s_poplar_2_sides_single_lock,34x4 net S4S Poplar 2 Sides Single Lock Miter,EA,2.0,,,,
Lynn-Gator 11.6.25,,page_2_of,Page 2 of,EA,2.0,,5.0,5.0,
Lynn-Gator 11.6.25,,bedroom,Bedroom,EA,1.0,,1.0,1.0,
Lynn-Gator 11.6.25,,ridge,Ridge,EA,1.0,,1.0,1.0,
