vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
abbate_tile,tile,rm_4_baths_powder_rm_and_fplace_surround,RM 4 BATHS POWDER RM AND FPLACE SURROUND HEARTH,EA,4.0,,4.0,4.0,
abbate_tile,tile,cutout_48_slide_in_range_and_4_splashes,CUTOUT 48 SLIDE IN RANGE AND 4 SPLASHES,EA,48.0,,48.0,48.0,
abbate_tile,tile,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,4.0,4.0,
abbate_tile,tile,65000,65000,EA,65000.0,,650.0,650.0,
abbate_tile,plumbing,lavatory_sink,FARM SINK CUTOUT AND 4 SPLASHES,EA,4.0,,4.0,4.0,
abbate_tile,plumbing,lavatory_sink,SINK CUTOUT AND 4 SPLASHES,EA,4.0,,4.0,4.0,
abbate_tile,tile,55000,55000,EA,55000.0,,550.0,550.0,
abbate_tile,concrete,foundation,4 SLABS OF 3CM TAJ MAHAL QUARTZITE FOR KITCHEN WET BAR AND ALL BATH VANITY TOPS,EA,4.0,,4.0,4.0,
abbate_tile,concrete,foundation,2 SLABS OF 2CM POLISHED WHITE QUARTZ FOR ALL SHOWER COMPONENTS,EA,2.0,,2.0,2.0,
abbate_tile,hvac,system_install,DAMAGES CAUSED BY OTHER PARTIES CUSTOMER HAS 24 HOURS TO REPORT ANY CONCERNS WITH THEIR PRODUCT OR,EA,24.0,,24.0,24.0,
abbate_tile,tile,30000,30000,EA,30000.0,,300.0,300.0,
