vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
gale_insulation,insulation,branch_037_3601a_crossroads_parkway_ft_p,Branch 037 3601A Crossroads Parkway Ft Pierce FL 349452700 772 4659191,EA,37.0,,37.0,37.0,
gale_insulation,insulation,21263,21263,EA,21263.0,,21263.0,21263.0,
gale_insulation,insulation,7707_us_highway_1_ste_10,7707 US HIGHWAY 1 STE 10,EA,7707.0,,7707.0,7707.0,
gale_insulation,insulation,291_sea_oak_dr,291 Sea Oak Dr,EA,291.0,,291.0,291.0,
gale_insulation,insulation,r41_fifoil_aa2_vapor_shield,R41 FiFoil AA2 Vapor Shield,EA,1.0,,4.1,4.1,
gale_insulation,insulation,3_mineral_wool,3 MINERAL WOOL,EA,3.0,,3.0,3.0,
gale_insulation,insulation,draft_stop_fire_block_fire_stop_ibc_7184,Draft stop fire block fire stop IBC 71841 71842 and 71843 or locally adopted equivalent and fire rated caulking are,EA,71841.0,,718.4,718.4,
gale_insulation,insulation,4_limitation_of_remedies_your_sole_and_e,4 LIMITATION OF REMEDIES Your sole and exclusive remedy against Contractor for any and all claims for damages arising out of or alleged to have arisen out the,EA,4.0,,4.0,4.0,
gale_insulation,insulation,the_alleged_damages_within_30_days_after,the alleged damages within 30 days after Contractors receipt of the notice If you fail to give the required notice andor fail to allow Contractor an opportunity to inspect the,EA,30.0,,30.0,30.0,
gale_insulation,insulation,allege_damages_within_30_days_you_hereby,allege damages within 30 days you hereby waive any and all rights for damages andor correction of work against Contractor This Limitations of Remedies may be plead as a,EA,30.0,,30.0,30.0,
gale_insulation,insulation,5_limitations_on_actions_and_liability_a,5 LIMITATIONS ON ACTIONS AND LIABILITY All claims andor lawsuits including but not limited to claims or lawsuits for indemnity andor contribution against,EA,5.0,,5.0,5.0,
gale_insulation,insulation,7_force_majeure_contractor_shall_not_be,7 FORCE MAJEURE Contractor shall not be liable for any delay failures or default in performance of this agreement or otherwise in whole or in part caused by the,EA,7.0,,7.0,7.0,
gale_insulation,insulation,8_confidentiality_if_you_visit_contracto,8 CONFIDENTIALITY If you visit Contractors premises or you otherwise receive any proprietary or confidential information from Contractor you shall retain such,EA,8.0,,8.0,8.0,
gale_insulation,insulation,10_cancellation_this_agreement_or_any_pa,10 CANCELLATION This agreement or any part of it may only be cancelled with Contractors written approval In the event of cancellation of this agreement or any part,EA,10.0,,10.0,10.0,
gale_insulation,insulation,11_default_you_may_terminate_this_agreem,11 DEFAULT You may terminate this agreement for Contractors default wholly or in part by giving Contractor written notice of termination as follows You may give a,EA,11.0,,11.0,11.0,
gale_insulation,insulation,12_assignment_you_may_not_assign_this_ag,12 ASSIGNMENT You may not assign this agreement or any claim against Contractor relating to this agreement,EA,12.0,,12.0,12.0,
gale_insulation,insulation,13_governing_law_this_agreement_shall_be,13 GOVERNING LAW This agreement shall be construed interpreted and the rights of the parties determined in accordance with the laws of the State of Contractors,EA,13.0,,13.0,13.0,
gale_insulation,insulation,30_days_of_when_the_dispute_arose_one_wi,30 days of when the dispute arose one will be selected pursuant to the Commercial Mediation Rules of the American Arbitration Association Each party will share equally the,EA,30.0,,30.0,30.0,
gale_insulation,insulation,17_entire_agreement_this_instrument_cont,17 ENTIRE AGREEMENT This instrument contains the entire agreement of the parties relating to the subject matter hereof and may only be waived changed modified,EA,17.0,,17.0,17.0,
gale_insulation,insulation,18_indemnity_each_of_the_parties_to_this,18 INDEMNITY Each of the parties to this agreement agrees to defend and indemnify one another from any and all claims actions andor lawsuits caused by the partys,EA,18.0,,18.0,18.0,
