vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Abbate Tile 10.31.25 - Copy,,1136_old_dixie_highway_vero_beach_fl,1136 OLD DIXIE HIGHWAY VERO BEACH FL,EA,1136.0,,32960.0,32960.0,
Lynn-Abbate Tile 10.31.25 - Copy,,phone_7725699113_fax,PHONE 7725699113 FAX,EA,7725699113.0,,7725693849.0,7725693849.0,
Lynn-Abbate Tile 10.31.25 - Copy,,date,DATE,EA,1.0,,103125.0,103125.0,
Lynn-Abbate Tile 10.31.25 - Copy,,job_lynn_residence_job_address_291_sea_o,JOB LYNN RESIDENCE JOB ADDRESS 291 SEA OAK DRIVE,EA,291.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,phone,PHONE,EA,1.0,,7723888882.0,7723888882.0,
Lynn-Abbate Tile 10.31.25 - Copy,,rm_4_baths_powder_rm_and_fplace_surround,RM 4 BATHS POWDER RM AND FPLACE SURROUND HEARTH,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_48_slide_in_range_and_4_splashes,CUTOUT 48 SLIDE IN RANGE AND 4 SPLASHES,EA,48.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,farm_sink_cutout_and_4_splashes,FARM SINK CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,sink_cutout_and_4_splashes,SINK CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_1_price_for_3cm_stonequartz_with_a,BATH 1 PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE UMOUNT SINK,EA,1.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes_price_also_include,CUTOUT AND 4 SPLASHES PRICE ALSO INCLUDES A SHOWER SEAT TOP,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_2_tub_bath_price_for_3cm_stonequart,BATH 2 TUB BATH PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE,EA,2.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,umount_sink_cutout_and_4_splashes_price,UMOUNT SINK CUTOUT AND 4 SPLASHES PRICE ALSO INCLUDES THE TUB DECK WITH,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_3_price_for_3cm_stonequartz_with_a,BATH 3 PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE UMOUNT SINK,EA,3.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,bath_4_price_for_3cm_stonequartz_with_a,BATH 4 PRICE FOR 3CM STONEQUARTZ WITH A 3CM EASED EDGE DETAIL ONE UMOUNT SINK,EA,4.0,,,,
Lynn-Abbate Tile 10.31.25 - Copy,,cutout_and_4_splashes,CUTOUT AND 4 SPLASHES,EA,4.0,,,,
