vendor,desc,value,unit
abbate_tile,CUTOUT AND 4 SPLASHES,4.0,EA
abbate_tile,CUTOUT AND 4 SPLASHES,4.0,EA
final_touch_cabinets,291 SEA OAK DRIVE,291.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
final_touch_cabinets,1,1.0,EA
gale_insulation,Branch 037 3601A Crossroads Parkway Ft Pierce FL 349452700 772 4659191,37.0,EA
gale_insulation,21263,21263.0,EA
gale_insulation,7707 US HIGHWAY 1 STE 10,7707.0,EA
gale_insulation,291 Sea Oak Dr,291.0,EA
gator_supply,30,30.0,EA
gator_supply,30,30.0,EA
gator_supply,6,6.0,EA
gator_supply,20,20.0,EA
gator_supply,8,8.0,EA
gator_supply,10,10.0,EA
gator_supply,20,20.0,EA
gator_supply,10,10.0,EA
gator_supply,16,16.0,EA
gator_supply,32,32.0,EA
gator_supply,16,16.0,EA
gator_supply,30,30.0,EA
gator_supply,30,30.0,EA
gator_supply,58 4x8 Sheathing Backer,5.0,EA
gator_supply,1x8 Cypress Select VJoint TG,1.0,EA
gator_supply,1982,19.82,EA
gator_supply,1982,19.82,EA
gator_supply,560,5.6,EA
gator_supply,1393,13.93,EA
gator_supply,1001,10.01,EA
gator_supply,1393,13.93,EA
gator_supply,1377,13.77,EA
gator_supply,1252,12.52,EA
gator_supply,1152,11.52,EA
gator_supply,1982,19.82,EA
gator_supply,37560,375.6,EA
gator_supply,6,6.0,EA
gator_supply,2,2.0,EA
gator_supply,2,2.0,EA
gator_supply,8,8.0,EA
gator_supply,2,2.0,EA
gator_supply,2,2.0,EA
gator_supply,2,2.0,EA
gator_supply,11,11.0,EA
gator_supply,8,8.0,EA
gator_supply,12,12.0,EA
gator_supply,2,2.0,EA
gator_supply,40,40.0,EA
gator_supply,1,1.0,EA
gator_supply,2,2.0,EA
gator_supply,4,4.0,EA
gator_supply,1,1.0,EA
gator_supply,1,1.0,EA
gator_supply,3,3.0,EA
gator_supply,16,16.0,EA
gator_supply,16,16.0,EA
gator_supply,32,32.0,EA
gator_supply,40,40.0,EA
gator_supply,2x6x12 PT Prime,2.0,EA
gator_supply,2x6x10 PT Prime,2.0,EA
gator_supply,1x4x12 PT,1.0,EA
gator_supply,1x4x10 PT,1.0,EA
gator_supply,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,3.0,EA
gator_supply,34x634 net S4S Poplar 2 Sides Single Lock Miter,3.0,EA
gator_supply,34x4 net S4S Poplar Bottom DBL Lock Miter,3.0,EA
gator_supply,34x6 net S4S Poplar 2 Sides Single Lock Miter,3.0,EA
gator_supply,34x3 net S4S Poplar Bottom DBL Lock Miter,3.0,EA
gator_supply,34x4 net S4S Poplar 2 Sides Single Lock Miter,3.0,EA
gator_supply,1393,13.93,EA
gator_supply,1044,10.44,EA
gator_supply,864,8.64,EA
gator_supply,480,4.8,EA
gator_supply,441,4.41,EA
gator_supply,2088,20.88,EA
gator_supply,1152,11.52,EA
gator_supply,960,9.6,EA
gator_supply,61051,610.51,EA
gator_supply,59779,597.79,EA
gator_supply,435,4.35,EA
gator_supply,435,4.35,EA
gator_supply,320,3.2,EA
gator_supply,435,4.35,EA
gator_supply,435,4.35,EA
gator_supply,320,3.2,EA
gator_supply,435,4.35,EA
gator_supply,255,2.55,EA
gator_supply,320,3.2,EA
gator_supply,61051,610.51,EA
gator_supply,59779,597.79,EA
gator_supply,80,80.0,EA
gator_supply,1,1.0,EA
gator_supply,1,1.0,EA
gator_supply,300,300.0,EA
gator_supply,1,1.0,EA
gator_supply,1,1.0,EA
gator_supply,856,856.0,EA
gator_supply,1,1.0,EA
gator_supply,242,242.0,EA
gator_supply,34x6 net S4S Poplar 1 Bottom DBL Lock Miter,3.0,EA
gator_supply,34x634 net S4S Poplar 2 Sides Single Lock Miter,3.0,EA
gator_supply,34x3 net S4S Poplar Bottom DBL Lock Miter,3.0,EA
gator_supply,810s,8.0,EA
